State,Number of Participating Agencies,Population Covered,Total Offenses,Animal Cruelty,Drug/ Narcotic Offenses,Gambling Offenses,Pornography/Obscene Material,Prostitution Offenses,Weapon Law Violations,Arson,Bribery,Burglary Breaking & Entering,Counterfeiting Forgery,Destruction Damage Vandalism,Embezzlement,Extortion Blackmail,Fraud Offenses,Larceny Theft Offenses,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Assault Offenses,Homicide Offenses,Human Trafficking,Kidnapping Abduction,Sex Offenses
Total,"9,880","177,522,400","1,273,179","11,566","1,039,388","1,444","25,268","7,364","188,149",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Alabama,131,"715,130","3,235",43,"2,903",1,11,0,277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Arizona,22,"1,769,207","18,239",182,"16,530",0,232,39,"1,256",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Arkansas,281,"2,818,360","35,720",11,"31,860",17,390,48,"3,394",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Colorado,225,"5,754,151","31,282",759,"22,217",5,874,224,"7,203",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Connecticut,105,"3,488,526","10,780",85,"8,060",16,208,39,"2,372",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Delaware,62,"986,809","12,934","1,154","9,431",31,104,41,"2,173",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Georgia,401,"7,938,166","39,015",885,"32,004",32,"1,153",246,"4,695",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Hawaii,1,"966,438","3,280",46,"2,400",313,60,40,421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Idaho,107,"1,819,575","23,704",52,"22,434",0,288,33,897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Illinois,7,"240,617","1,135",1,557,0,32,6,539,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Indiana,160,"4,675,214","36,414",437,"30,118",249,718,60,"4,832",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Iowa,251,"3,083,186","24,306",0,"21,444",3,392,31,"2,436",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kansas,356,"2,586,059","30,538",1,"27,134",6,387,76,"2,934",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kentucky,423,"4,472,499","44,912",178,"41,189",13,573,84,"2,875",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Louisiana,70,"1,739,794","14,814",2,"12,399",14,314,97,"1,988",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Maine,68,"841,254","3,170",26,"2,693",2,216,37,196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Maryland,3,"1,792,745","4,136",5,"3,099",1,105,28,898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Massachusetts,342,"6,815,611","13,306",115,"8,846",59,891,157,"3,238",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Michigan,627,"9,767,448","42,974",487,"25,083",23,"1,070",508,"15,803",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Minnesota,401,"5,584,006","22,778",260,"17,993",12,497,22,"3,994",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mississippi,83,"1,256,005","13,881",209,"12,103",7,119,18,"1,425",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Missouri,321,"4,778,935","46,084",214,"40,198",29,489,106,"5,048",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Montana,100,"1,075,088","7,558",100,"7,211",0,16,23,208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nebraska,121,"1,034,668","8,633",53,"7,680",0,184,22,694,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nevada,28,"3,059,000","11,716",44,"8,506",20,86,590,"2,470",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
New Hampshire,193,"1,335,848","7,604",188,"6,183",4,700,68,461,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
New Mexico,17,"1,114,118","7,893",62,"5,918",1,157,59,"1,696",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
New York,56,"1,870,894","3,124",0,"2,548",0,51,27,498,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
North Carolina,377,"9,618,194","100,119",481,"84,595",95,"1,551",311,"13,086",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
North Dakota,106,"765,309","12,993",88,"12,035",6,192,34,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ohio,560,"9,805,446","61,965",218,"48,301",3,"1,246",409,"11,788",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oklahoma,404,"2,875,975","19,795",102,"15,950",1,513,75,"3,154",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oregon,207,"4,000,770","22,389",407,"15,546",1,520,116,"5,799",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pennsylvania,22,"253,932",267,1,219,0,7,0,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Rhode Island,47,"1,056,100","3,557",35,"2,265",7,413,13,824,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
South Carolina,398,"5,139,301","57,106",313,"46,806",40,803,169,"8,975",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
South Dakota,121,"848,707","13,759",21,"12,738",11,232,33,724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tennessee,463,"6,886,834","93,872",423,"79,671",20,790,340,"12,628",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Texas,806,"26,328,281","155,180","2,137","126,171",376,"3,523","1,942","21,031",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Utah,114,"3,103,855","39,485",64,"35,355",4,520,143,"3,399",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Vermont,88,"623,347","1,397",33,"1,181",1,88,16,78,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Virginia,416,"8,589,304","74,071","1,164","56,611",9,"1,894",371,"14,022",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Washington,232,"7,663,709","30,852",200,"23,864",9,739,415,"5,625",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
West Virginia,251,"1,562,004","12,779",9,"10,653",0,495,30,"1,592",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wisconsin,282,"4,821,673","49,165",241,"37,553",3,"1,418",216,"9,734",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wyoming,23,"200,308",855,29,803,0,7,2,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Total,"9,880","177,522,400","5,371,269",nan,nan,nan,nan,nan,nan,"21,829",622,"522,400","102,486","1,016,618","19,819","9,141","643,405","2,453,071","406,911","102,659","72,308",nan,nan,nan,nan,nan
Alabama,131,"715,130","7,981",nan,nan,nan,nan,nan,nan,34,0,910,186,"1,375",40,13,820,"3,840",541,66,156,nan,nan,nan,nan,nan
Arizona,22,"1,769,207","47,284",nan,nan,nan,nan,nan,nan,186,1,"4,404",567,"8,390",147,113,"6,778","23,063","2,611",720,304,nan,nan,nan,nan,nan
Arkansas,281,"2,818,360","135,509",nan,nan,nan,nan,nan,nan,556,1,"14,994","3,868","26,063",77,47,"23,636","54,991","7,355","1,440","2,481",nan,nan,nan,nan,nan
Colorado,225,"5,754,151","257,623",nan,nan,nan,nan,nan,nan,"1,329",156,"22,539","3,910","48,987",313,751,"29,769","112,828","30,179","3,958","2,904",nan,nan,nan,nan,nan
Connecticut,105,"3,488,526","78,197",nan,nan,nan,nan,nan,nan,159,3,"5,897","1,356","14,435",214,164,"8,575","37,125","7,295","1,695","1,279",nan,nan,nan,nan,nan
Delaware,62,"986,809","37,244",nan,nan,nan,nan,nan,nan,138,1,"2,572",427,"9,085",150,74,"6,090","15,849","1,597",705,556,nan,nan,nan,nan,nan
Georgia,401,"7,938,166","207,820",nan,nan,nan,nan,nan,nan,651,12,"18,567","5,526","36,394",312,251,"27,491","97,267","14,621","3,862","2,866",nan,nan,nan,nan,nan
Hawaii,1,"966,438","32,730",nan,nan,nan,nan,nan,nan,319,2,"3,301",417,949,32,134,"4,091","18,238","3,744",743,760,nan,nan,nan,nan,nan
Idaho,107,"1,819,575","33,036",nan,nan,nan,nan,nan,nan,152,1,"3,405",744,"6,751",139,101,"4,936","14,611","1,626",163,407,nan,nan,nan,nan,nan
Illinois,7,"240,617","9,018",nan,nan,nan,nan,nan,nan,61,0,784,118,"3,154",3,3,858,"3,282",425,246,84,nan,nan,nan,nan,nan
Indiana,160,"4,675,214","112,587",nan,nan,nan,nan,nan,nan,629,11,"11,851","2,020","10,360",352,105,"14,877","56,932","10,860","3,333","1,257",nan,nan,nan,nan,nan
Iowa,251,"3,083,186","84,304",nan,nan,nan,nan,nan,nan,419,58,"11,149","3,159","17,982",164,136,"7,235","36,165","6,195",928,714,nan,nan,nan,nan,nan
Kansas,356,"2,586,059","98,226",nan,nan,nan,nan,nan,nan,512,6,"7,818","2,850","25,413",634,244,"12,986","39,479","5,913",816,"1,555",nan,nan,nan,nan,nan
Kentucky,423,"4,472,499","119,694",nan,nan,nan,nan,nan,nan,360,53,"14,724","2,458","21,038","1,382",81,"7,066","54,885","11,242","2,288","4,117",nan,nan,nan,nan,nan
Louisiana,70,"1,739,794","46,064",nan,nan,nan,nan,nan,nan,71,1,"6,312",759,"9,117",196,59,"1,735","23,833","2,594",508,879,nan,nan,nan,nan,nan
Maine,68,"841,254","16,795",nan,nan,nan,nan,nan,nan,170,2,"1,179",331,"4,139",97,39,"2,529","7,636",508,100,65,nan,nan,nan,nan,nan
Maryland,3,"1,792,745","41,063",nan,nan,nan,nan,nan,nan,44,0,"2,360",647,"8,477",95,118,"5,310","19,235","3,317","1,280",180,nan,nan,nan,nan,nan
Massachusetts,342,"6,815,611","165,200",nan,nan,nan,nan,nan,nan,419,12,"10,299","2,530","29,897",339,534,"52,246","57,363","6,815","2,999","1,747",nan,nan,nan,nan,nan
Michigan,627,"9,767,448","233,949",nan,nan,nan,nan,nan,nan,"1,768",11,"22,172","3,017","47,579","1,685",517,"36,400","93,671","18,074","4,424","4,631",nan,nan,nan,nan,nan
Minnesota,401,"5,584,006","126,006",nan,nan,nan,nan,nan,nan,454,7,"11,528","3,306","23,618",156,144,"13,812","57,242","10,039","2,852","2,848",nan,nan,nan,nan,nan
Mississippi,83,"1,256,005","37,173",nan,nan,nan,nan,nan,nan,128,9,"4,730",734,"5,864",502,36,"3,708","18,123","2,221",398,720,nan,nan,nan,nan,nan
Missouri,321,"4,778,935","149,808",nan,nan,nan,nan,nan,nan,760,3,"13,587","3,390","25,966",502,71,"12,086","72,422","15,741","2,865","2,415",nan,nan,nan,nan,nan
Montana,100,"1,075,088","35,743",nan,nan,nan,nan,nan,nan,156,2,"2,696","1,014","8,163",72,7,"2,525","18,039","2,521",272,276,nan,nan,nan,nan,nan
Nebraska,121,"1,034,668","19,921",nan,nan,nan,nan,nan,nan,90,8,"1,376",611,"5,662",81,90,"2,335","8,108","1,110",109,341,nan,nan,nan,nan,nan
Nevada,28,"3,059,000","45,727",nan,nan,nan,nan,nan,nan,154,7,"4,866",669,"8,551",490,115,"6,930","17,125","4,648","1,041","1,131",nan,nan,nan,nan,nan
New Hampshire,193,"1,335,848","29,785",nan,nan,nan,nan,nan,nan,145,3,"1,314",689,"7,847",111,122,"5,472","12,208",904,260,710,nan,nan,nan,nan,nan
New Mexico,17,"1,114,118","65,205",nan,nan,nan,nan,nan,nan,234,44,"7,221",705,"15,032",406,110,"5,355","26,734","6,779","1,677",908,nan,nan,nan,nan,nan
New York,56,"1,870,894","32,635",nan,nan,nan,nan,nan,nan,111,1,"2,195",622,"8,007",8,45,"2,260","17,010","1,289",551,536,nan,nan,nan,nan,nan
North Carolina,377,"9,618,194","332,136",nan,nan,nan,nan,nan,nan,"1,405",11,"40,035","5,115","57,978","1,782",626,"38,413","157,274","17,618","6,591","5,288",nan,nan,nan,nan,nan
North Dakota,106,"765,309","25,555",nan,nan,nan,nan,nan,nan,87,0,"2,823",712,"4,522",114,45,"3,620","11,018","1,820",144,650,nan,nan,nan,nan,nan
Ohio,560,"9,805,446","272,856",nan,nan,nan,nan,nan,nan,875,9,"30,290","2,351","61,775",113,383,"18,935","130,184","17,091","6,954","3,896",nan,nan,nan,nan,nan
Oklahoma,404,"2,875,975","101,728",nan,nan,nan,nan,nan,nan,539,10,"14,068","2,120","15,546","1,246",256,"14,713","41,339","8,637","1,227","2,027",nan,nan,nan,nan,nan
Oregon,207,"4,000,770","168,615",nan,nan,nan,nan,nan,nan,"1,315",11,"13,283","3,155","35,668",253,160,"16,272","79,717","15,607","2,105","1,069",nan,nan,nan,nan,nan
Pennsylvania,22,"253,932",722,nan,nan,nan,nan,nan,nan,2,0,20,20,112,3,0,177,353,18,6,11,nan,nan,nan,nan,nan
Rhode Island,47,"1,056,100","25,454",nan,nan,nan,nan,nan,nan,120,0,"1,801",532,"6,327",113,72,"4,148","10,076","1,496",337,432,nan,nan,nan,nan,nan
South Carolina,398,"5,139,301","208,447",nan,nan,nan,nan,nan,nan,710,4,"21,659","4,563","35,383",827,208,"20,234","103,272","14,065","3,076","4,446",nan,nan,nan,nan,nan
South Dakota,121,"848,707","26,791",nan,nan,nan,nan,nan,nan,88,0,"2,628",824,"4,871",227,36,"2,323","12,987","2,120",244,443,nan,nan,nan,nan,nan
Tennessee,463,"6,886,834","263,150",nan,nan,nan,nan,nan,nan,992,23,"25,796","5,439","47,632","1,646",521,"25,717","126,481","20,718","5,604","2,581",nan,nan,nan,nan,nan
Texas,806,"26,328,281","785,751",nan,nan,nan,nan,nan,nan,"2,423",75,"81,815","16,970","136,429","2,025",562,"70,765","378,566","69,518","23,329","3,274",nan,nan,nan,nan,nan
Utah,114,"3,103,855","111,324",nan,nan,nan,nan,nan,nan,277,11,"7,643","2,416","23,095",85,264,"12,573","53,131","8,669","1,159","2,001",nan,nan,nan,nan,nan
Vermont,88,"623,347","12,495",nan,nan,nan,nan,nan,nan,42,1,976,189,"2,874",60,11,"1,422","6,451",260,64,145,nan,nan,nan,nan,nan
Virginia,416,"8,589,304","220,981",nan,nan,nan,nan,nan,nan,621,26,"11,405","4,330","48,518","1,792",872,"33,569","104,720","10,770","2,962","1,396",nan,nan,nan,nan,nan
Washington,232,"7,663,709","356,395",nan,nan,nan,nan,nan,nan,"1,297",14,"38,635","4,361","67,070",209,646,"57,591","148,503","27,100","5,154","5,815",nan,nan,nan,nan,nan
West Virginia,251,"1,562,004","31,880",nan,nan,nan,nan,nan,nan,272,3,"4,149",814,"5,926",87,8,"2,067","15,529","1,994",311,720,nan,nan,nan,nan,nan
Wisconsin,282,"4,821,673","117,910",nan,nan,nan,nan,nan,nan,545,9,"10,462","1,890","23,765",533,242,"12,793","54,942","8,543","2,922","1,264",nan,nan,nan,nan,nan
Wyoming,23,"200,308","1,687",nan,nan,nan,nan,nan,nan,8,0,161,51,404,5,5,153,812,74,6,8,nan,nan,nan,nan,nan
Total,"9,880","177,522,400","2,235,280",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,063,412","11,815","1,576","31,216","127,261"
Alabama,131,"715,130","4,384",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"4,214",24,0,52,94
Arizona,22,"1,769,207","18,440",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"16,756",86,5,302,"1,291"
Arkansas,281,"2,818,360","63,893",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"60,103",340,2,685,"2,763"
Colorado,225,"5,754,151","64,221",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"55,631",350,30,"2,403","5,807"
Connecticut,105,"3,488,526","27,833",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"25,994",134,10,249,"1,446"
Delaware,62,"986,809","16,154",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"15,255",87,6,215,591
Georgia,401,"7,938,166","99,961",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"91,136",605,215,"2,040","5,965"
Hawaii,1,"966,438","9,376",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"8,358",25,10,323,660
Idaho,107,"1,819,575","16,972",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"14,725",48,4,241,"1,954"
Illinois,7,"240,617","5,688",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"5,350",33,0,117,188
Indiana,160,"4,675,214","55,303",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"49,876",448,39,"1,275","3,665"
Iowa,251,"3,083,186","30,872",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"28,466",124,0,220,"2,062"
Kansas,356,"2,586,059","42,607",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"39,051",95,0,"1,239","2,222"
Kentucky,423,"4,472,499","47,887",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"43,377",366,19,"1,166","2,959"
Louisiana,70,"1,739,794","22,995",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"21,860",130,2,228,775
Maine,68,"841,254","8,338",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"7,599",20,3,21,695
Maryland,3,"1,792,745","8,176",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"7,239",100,5,20,812
Massachusetts,342,"6,815,611","68,909",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"64,802",167,28,487,"3,425"
Michigan,627,"9,767,448","155,110",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"143,029",848,49,818,"10,366"
Minnesota,401,"5,584,006","32,600",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"28,884",188,50,464,"3,014"
Mississippi,83,"1,256,005","16,843",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"16,016",91,0,78,658
Missouri,321,"4,778,935","58,458",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"54,524",402,36,513,"2,983"
Montana,100,"1,075,088","13,630",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"11,845",61,4,272,"1,448"
Nebraska,121,"1,034,668","9,247",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"8,192",25,1,138,891
Nevada,28,"3,059,000","25,667",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"23,483",93,111,419,"1,561"
New Hampshire,193,"1,335,848","14,913",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"13,096",24,7,253,"1,533"
New Mexico,17,"1,114,118","25,958",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"23,577",126,4,853,"1,398"
New York,56,"1,870,894","11,872",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"11,135",22,0,193,522
North Carolina,377,"9,618,194","128,459",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"120,176",809,56,"1,900","5,518"
North Dakota,106,"765,309","10,769",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"9,620",34,11,135,969
Ohio,560,"9,805,446","148,955",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"139,203",747,16,"1,908","7,081"
Oklahoma,404,"2,875,975","36,790",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"33,454",206,12,459,"2,659"
Oregon,207,"4,000,770","38,223",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"34,389",171,24,445,"3,194"
Pennsylvania,22,"253,932",264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,238,3,0,5,18
Rhode Island,47,"1,056,100","9,246",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"8,508",32,3,52,651
South Carolina,398,"5,139,301","94,085",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"88,748",575,23,"1,085","3,654"
South Dakota,121,"848,707","13,416",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"12,063",52,2,171,"1,128"
Tennessee,463,"6,886,834","144,313",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"136,180",747,40,"2,028","5,318"
Texas,806,"26,328,281","357,801",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"337,069","1,792",399,"2,758","15,783"
Utah,114,"3,103,855","33,720",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"28,617",110,66,891,"4,036"
Vermont,88,"623,347","3,988",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"3,569",18,1,93,307
Virginia,416,"8,589,304","98,675",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"91,564",588,60,"1,642","4,821"
Washington,232,"7,663,709","78,988",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"72,069",334,78,"1,264","5,243"
West Virginia,251,"1,562,004","14,608",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"13,128",121,59,137,"1,163"
Wisconsin,282,"4,821,673","44,398",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"39,165",409,85,938,"3,801"
Wyoming,23,"200,308","1,213",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,085",2,1,18,107
